Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
113.17.140.181-10.53.81.102-443-63327-6,113.17.140.181,443,10.53.81.102,63327,6,08/12/2025 02:32:21 下午,479,3,4,63.0,0.0,39.0,0.0,21.0,19.672315572906,0.0,0.0,0.0,0.0,131524.0083507307,14613.778705636743,79.83333333333333,127.63450421679346,333.0,0.0,0.0,0.0,0.0,0.0,0.0,397.0,132.33333333333331,173.82845950342346,333.0,28.0,1,0,0,0,60,104,6263.048016701461,8350.730688935282,0.0,39.0,10.874999999999998,15.706572782482771,246.69642857142858,2,0,0,2,7,0,0,0,1.0,12.428571428571429,21.0,0.0,0,0,0,0,0,0,0,0,0,0,501,1025,1,20,0,0,0,0,0,0,0,0,NeedManualLabel
10.53.81.102-104.110.191.143-63381-80-6,10.53.81.102,63381,104.110.191.143,80,6,08/12/2025 02:32:24 下午,456525,4,4,111.0,187.0,111.0,0.0,27.75,55.5,187.0,0.0,46.75,93.5,652.7572422101747,17.523684354635563,65217.857142857145,109244.29619806027,226291.0,134.0,455367.0,151789.0,131217.15063588295,228664.0,278.0,230234.0,76744.66666666666,127842.87545394672,224353.0,1317.0,0,0,0,0,92,92,8.761842177317781,8.761842177317781,0.0,187.0,33.111111111111114,68.39489097228763,4677.861111111112,2,2,0,2,7,0,0,0,1.0,37.25,27.75,46.75,0,0,0,0,0,0,0,0,0,0,64240,502,1,20,0,0,0,0,0,0,0,0,NeedManualLabel
10.53.81.102-20.205.243.166-63384-443-6,10.53.81.102,63384,20.205.243.166,443,6,08/12/2025 02:32:26 下午,7250735,10243,2972,1.430314E7,6679.0,1436.0,0.0,1396.381919359562,175.8395327957726,1436.0,0.0,2.2473082099596158,49.44877309609148,1973568.0589622983,1822.5738494097495,548.7161344029063,10937.946240374933,618625.0,-791.0,7250735.0,707.9413200546768,14366.704022375101,798335.0,0.0,7123796.0,2397.777179400877,25458.972999568523,779501.0,0.0,0,0,0,0,204896,70564,1412.6843692398081,409.8894801699414,0.0,1436.0,1082.7647548426146,602.8332657083805,363407.94624463096,1,2,1,1134,13214,0,0,0,0.0,1082.8466893681423,1396.3819193595625,2.2473082099596233,0,0,0,14309819,10243,2009188,0,0,0,0,64240,4096,10233,20,0,0,0,0,0,0,0,0,NeedManualLabel
20.205.243.166-10.53.81.102-443-63384-6,20.205.243.166,443,10.53.81.102,63384,6,08/12/2025 02:32:34 下午,11,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181818.18181818182,11.0,0.0,11.0,11.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,90909.09090909091,90909.09090909091,0.0,0.0,0.0,0.0,0.0,1,0,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,4096,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
10.53.81.102-104.110.191.143-63389-80-6,10.53.81.102,63389,104.110.191.143,80,6,08/12/2025 02:32:55 下午,453823,4,4,111.0,187.0,111.0,0.0,27.75,55.5,187.0,0.0,46.75,93.5,656.6436694482211,17.628017971764322,64831.857142857145,110263.92195157426,230423.0,131.0,453100.0,151033.33333333334,130620.42671930502,230559.0,282.0,223400.0,74466.66666666666,128113.64640948026,222399.0,147.0,0,0,0,0,92,92,8.814008985882161,8.814008985882161,0.0,187.0,33.111111111111114,68.39489097228763,4677.861111111112,2,2,0,2,7,0,0,0,1.0,37.25,27.75,46.75,0,0,0,0,0,0,0,0,0,0,64240,502,1,20,0,0,0,0,0,0,0,0,NeedManualLabel
10.53.81.102-52.178.17.233-63403-443-6,10.53.81.102,63403,52.178.17.233,443,6,08/12/2025 02:33:02 下午,242757,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.358037049395074,121378.5,171609.86604650677,242725.0,32.0,242757.0,242757.0,0.0,242757.0,242757.0,0,0,0,0,0,0,0,0,0,52,32,8.238691366263383,4.119345683131692,0.0,0.0,0.0,0.0,0.0,0,2,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,64240,65535,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
10.53.81.102-52.178.17.233-63401-443-6,10.53.81.102,63401,52.178.17.233,443,6,08/12/2025 02:33:02 下午,483407,6,4,1768.0,99.0,1440.0,0.0,294.6666666666667,576.231434986557,99.0,0.0,24.75,49.5,3862.1699727145037,20.686502264137673,53711.888888888876,86856.96373988163,239752.0,0.0,483407.0,96681.4,100442.26507949729,239805.0,0.0,243628.0,81209.33333333334,137835.62570806334,240357.0,0.0,0,0,0,0,132,104,12.411901358482604,8.274600905655069,0.0,1440.0,169.72727272727275,432.9092493604383,187410.41818181815,1,2,1,2,9,0,0,0,0.0,186.7,294.6666666666667,24.75,0,0,0,0,0,0,0,0,0,0,64240,16385,2,20,0,0,0,0,0,0,0,0,NeedManualLabel
10.53.81.102-52.178.17.233-63402-443-6,10.53.81.102,63402,52.178.17.233,443,6,08/12/2025 02:33:02 下午,503532,6,3,1768.0,99.0,1440.0,0.0,294.6666666666667,576.231434986557,99.0,0.0,33.0,57.15767664977295,3707.8080439773444,17.873739901336958,62941.5,95675.66764409255,253731.0,0.0,503532.0,100706.4,106192.0893630971,253798.0,0.0,249757.0,124878.5,176604.86834880855,249757.0,0.0,0,0,0,0,132,72,11.915826600891304,5.957913300445652,0.0,1440.0,186.70000000000002,452.45209691192724,204712.9,1,2,1,2,8,0,0,0,0.0,207.44444444444446,294.6666666666667,33.0,0,0,0,0,0,0,0,0,0,0,64240,16385,2,20,0,0,0,0,0,0,0,0,NeedManualLabel
52.178.17.233-10.53.81.102-443-63401-6,52.178.17.233,443,10.53.81.102,63401,6,08/12/2025 02:33:03 下午,29,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68965.5172413793,29.0,0.0,29.0,29.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,34482.75862068965,34482.75862068965,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,16385,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
10.53.81.102-222.216.123.115-63262-443-6,10.53.81.102,63262,222.216.123.115,443,6,08/12/2025 02:32:48 下午,32495652,24,25,16538.0,6022.0,1440.0,0.0,689.0833333333334,697.5478737921032,1440.0,0.0,240.88000000000002,471.9088294716823,694.246725685024,1.5078940407165857,676992.7500000001,2690231.291231094,1.4557294E7,0.0,3.2489001E7,1412565.260869565,3793575.9380142805,1.4564123E7,0.0,3.2488823E7,1353700.958333333,3721872.648556538,1.4563908E7,0.0,0,0,0,0,492,536,0.7385603464734297,0.769333694243156,0.0,1440.0,451.2199999999999,626.0109632605877,391889.7261224489,2,0,0,15,49,0,0,0,1.0,460.42857142857144,689.0833333333334,240.88,0,0,0,11279,13,22731,8,5512,8,2007,1025,511,16,20,335278.3333333333,558585.936154262,980241.0,6829.0,1.0494388666666666E7,3927688.9748108024,1.4557294E7,6717559.0,NeedManualLabel
10.53.81.102-202.89.233.101-63405-443-6,10.53.81.102,63405,202.89.233.101,443,6,08/12/2025 02:33:03 下午,18036214,27,31,6130.0,11684.0,1440.0,0.0,227.03703703703698,438.45423245774924,1440.0,0.0,376.90322580645164,558.6297733346424,987.6795651238114,3.2157524855271733,316424.8070175439,2322603.842806522,1.7543586E7,0.0,1.7989958E7,691921.4615384616,3437259.756228525,1.7543586E7,0.0,1.7990131E7,599671.0333333334,3218521.4860171597,1.764021E7,0.0,0,0,0,0,600,644,1.4969882260212701,1.718764259505903,0.0,1440.0,301.9322033898304,504.7560989847499,254778.7194623026,2,2,0,22,57,0,0,0,1.0,307.13793103448273,227.03703703703704,376.9032258064516,0,0,0,17814,30,51008,27,6130,31,11684,64240,16381,12,20,446372.0,0.0,446372.0,446372.0,1.7543586E7,0.0,1.7543586E7,1.7543586E7,NeedManualLabel
10.53.81.102-202.89.233.96-63400-443-6,10.53.81.102,63400,202.89.233.96,443,6,08/12/2025 02:33:02 下午,18674496,36,32,24779.0,10925.0,1440.0,0.0,688.3055555555554,700.0888441351852,1440.0,0.0,341.40625000000006,519.3296460341928,1911.9123750381268,3.6413298650737347,278723.82089552237,2172013.152764845,1.7788415E7,0.0,1.8624739E7,532135.4,3003315.82837235,1.7788415E7,0.0,1.8625668E7,600828.0000000001,3207916.135966619,1.7881134E7,0.0,0,0,0,0,756,652,1.9277628697449183,1.7135669953288162,0.0,1440.0,517.4492753623186,639.6866543640925,409199.015771526,2,2,0,21,67,0,0,0,0.0,525.0588235294117,688.3055555555555,341.40625,0,0,0,35704,39,47998,36,24779,32,10925,64240,16385,22,20,836324.0,0.0,836324.0,836324.0,1.7788415E7,0.0,1.7788415E7,1.7788415E7,NeedManualLabel
10.53.81.102-202.89.233.96-63395-443-6,10.53.81.102,63395,202.89.233.96,443,6,08/12/2025 02:33:02 下午,18887304,14,14,2483.0,4898.0,1440.0,0.0,177.35714285714286,388.93159516075025,1440.0,0.0,349.8571428571429,550.6053811163542,390.7916132445372,1.482477329744891,699529.777777778,3574471.912711285,1.8584827E7,0.0,1.8836472E7,1448959.3846153845,5148779.368414251,1.8584827E7,0.0,1.8836593E7,1448968.6923076925,5176353.844518656,1.8676758E7,0.0,0,0,0,0,316,292,0.7412386648724455,0.7412386648724455,0.0,1440.0,254.51724137931038,469.91751713083005,220822.47290640397,2,2,0,9,27,0,0,0,1.0,263.60714285714283,177.35714285714286,349.85714285714283,0,0,0,7381,12,46405,14,2483,14,4898,64240,16382,6,20,251645.0,0.0,251645.0,251645.0,1.8584827E7,0.0,1.8584827E7,1.8584827E7,NeedManualLabel
10.53.81.102-172.188.155.25-63412-443-6,10.53.81.102,63412,172.188.155.25,443,6,08/12/2025 02:33:12 下午,8981800,16,14,5039.0,6640.0,1440.0,0.0,314.9375,568.4166862141423,1440.0,0.0,474.28571428571433,579.3866025071991,1300.2961544456568,3.3400877329711194,309717.2413793104,1580768.9787481523,8526450.0,0.0,8981800.0,598786.6666666667,2193687.6119189826,8526450.0,0.0,8867871.0,682143.9230769231,2390322.8684677538,8636465.0,0.0,0,0,0,0,344,316,1.7813801242512637,1.5587076087198557,0.0,1440.0,376.7419354838709,564.1121618816559,318222.5311827956,1,2,1,12,29,0,0,0,0.0,389.3,314.9375,474.2857142857143,0,0,0,11623,14,50325,16,5039,14,6640,64240,297,7,20,345303.0,0.0,345303.0,345303.0,8526450.0,0.0,8526450.0,8526450.0,NeedManualLabel
172.188.155.25-10.53.81.102-443-63412-6,172.188.155.25,443,10.53.81.102,63412,6,08/12/2025 02:33:21 下午,11,1,1,24.0,0.0,24.0,24.0,24.0,0.0,0.0,0.0,0.0,0.0,2181818.1818181816,181818.18181818182,11.0,0.0,11.0,11.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20,20,90909.09090909091,90909.09090909091,0.0,24.0,16.0,13.856406460551018,192.0,0,0,1,1,1,0,0,0,1.0,24.0,24.0,0.0,0,0,0,0,0,0,0,0,0,0,297,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
172.188.155.25-10.53.81.102-443-63412-6,172.188.155.25,443,10.53.81.102,63412,6,08/12/2025 02:33:21 下午,6,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,333333.3333333333,6.0,0.0,6.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,166666.66666666666,166666.66666666666,0.0,0.0,0.0,0.0,0.0,1,0,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,297,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
10.53.81.102-20.205.243.166-63408-443-6,10.53.81.102,63408,20.205.243.166,443,6,08/12/2025 02:33:09 下午,11668304,82,111,4770.0,121060.0,1436.0,0.0,58.1707317073171,207.8011754430359,1436.0,0.0,1090.63063063063,577.9535987654738,10783.915125968608,16.540535796804747,60772.41666666667,631404.8081973782,8660616.0,0.0,1.1542195E7,142496.2345679012,972491.3400413172,8660616.0,0.0,1.1546787E7,104970.7909090909,845282.9084736056,8786741.0,0.0,0,0,0,0,2044,2244,7.027585157191654,9.512950639613093,0.0,1436.0,648.6082474226806,686.4184671583218,471170.3120559802,2,2,0,52,192,0,0,0,1.0,651.9689119170985,58.170731707317074,1090.6306306306305,0,0,0,62903,55,96603,41,2385,55,60530,64240,94,15,20,2881579.0,0.0,2881579.0,2881579.0,8660616.0,0.0,8660616.0,8660616.0,NeedManualLabel
10.53.81.102-20.205.243.166-63408-443-6,10.53.81.102,63408,20.205.243.166,443,6,08/12/2025 02:33:21 下午,29,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,68965.5172413793,29.0,0.0,29.0,29.0,29.0,29.0,0.0,29.0,29.0,0,0,0,0,0,0,0,0,0,40,0,68965.5172413793,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
10.53.81.102-140.82.114.26-63411-443-6,10.53.81.102,63411,140.82.114.26,443,6,08/12/2025 02:33:11 下午,9396957,15,11,3707.0,4361.0,1436.0,0.0,247.13333333333333,449.0815813041842,1436.0,0.0,396.4545454545454,558.7814176646112,858.5758134255589,2.7668531419266897,375878.28,1614974.1568873613,8113794.0,0.0,9396957.0,671211.2142857142,2145526.5831146003,8113794.0,0.0,9154498.0,915449.8,2633408.340196737,8403042.0,0.0,0,0,0,0,324,244,1.5962614280346286,1.170591713892061,0.0,1436.0,298.81481481481484,487.53816710844734,237693.46438746434,1,2,1,13,25,0,0,0,0.0,310.3076923076923,247.13333333333333,396.45454545454544,0,0,0,7624,12,10150,15,3707,11,4361,64240,77,7,20,1039456.0,0.0,1039456.0,1039456.0,8113794.0,0.0,8113794.0,8113794.0,NeedManualLabel
