Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
154.73.24.253-192.168.1.20-2776-135-6,154.73.24.253,2776,192.168.1.20,135,6,16/03/2026 09:55:35 上午,7978,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.689395838556,7978.0,0.0,7978.0,7978.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,125.344697919278,125.344697919278,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,512,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
112.94.59.82-192.168.1.20-2777-135-6,112.94.59.82,2777,192.168.1.20,135,6,16/03/2026 09:55:35 上午,828,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2415.458937198068,828.0,0.0,828.0,828.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,1207.729468599034,1207.729468599034,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,512,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
200.24.162.66-192.168.1.20-2778-135-6,200.24.162.66,2778,192.168.1.20,135,6,16/03/2026 09:55:35 上午,1569,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1274.697259400892,1569.0,0.0,1569.0,1569.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,637.348629700446,637.348629700446,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,512,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
1.207.180.134-192.168.1.20-2779-135-6,1.207.180.134,2779,192.168.1.20,135,6,16/03/2026 09:55:35 上午,937,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2134.4717182497334,937.0,0.0,937.0,937.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,1067.2358591248667,1067.2358591248667,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,512,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
42.39.36.213-192.168.1.20-2780-135-6,42.39.36.213,2780,192.168.1.20,135,6,16/03/2026 09:55:35 上午,840,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2380.9523809523807,840.0,0.0,840.0,840.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,1190.4761904761904,1190.4761904761904,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,512,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
87.174.63.78-192.168.1.20-2781-135-6,87.174.63.78,2781,192.168.1.20,135,6,16/03/2026 09:55:35 上午,835,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2395.2095808383233,835.0,0.0,835.0,835.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,1197.6047904191616,1197.6047904191616,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,512,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
183.66.187.200-192.168.1.20-2782-135-6,183.66.187.200,2782,192.168.1.20,135,6,16/03/2026 09:55:35 上午,832,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2403.846153846154,832.0,0.0,832.0,832.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,1201.923076923077,1201.923076923077,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,512,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
147.76.230.230-192.168.1.20-2783-135-6,147.76.230.230,2783,192.168.1.20,135,6,16/03/2026 09:55:35 上午,903,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2214.8394241417495,903.0,0.0,903.0,903.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,1107.4197120708748,1107.4197120708748,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,512,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
169.101.251.5-192.168.1.20-2784-135-6,169.101.251.5,2784,192.168.1.20,135,6,16/03/2026 09:55:35 上午,831,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2406.7388688327314,831.0,0.0,831.0,831.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,1203.3694344163657,1203.3694344163657,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,512,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
162.80.129.151-192.168.1.20-2785-135-6,162.80.129.151,2785,192.168.1.20,135,6,16/03/2026 09:55:35 上午,844,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2369.6682464454975,844.0,0.0,844.0,844.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,1184.8341232227488,1184.8341232227488,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,512,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
199.180.43.41-192.168.1.20-2786-135-6,199.180.43.41,2786,192.168.1.20,135,6,16/03/2026 09:55:35 上午,825,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2424.2424242424245,825.0,0.0,825.0,825.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,1212.1212121212122,1212.1212121212122,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,512,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
52.5.213.42-192.168.1.20-2787-135-6,52.5.213.42,2787,192.168.1.20,135,6,16/03/2026 09:55:35 上午,831,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2406.7388688327314,831.0,0.0,831.0,831.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,1203.3694344163657,1203.3694344163657,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,512,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
138.13.183.89-192.168.1.20-2788-135-6,138.13.183.89,2788,192.168.1.20,135,6,16/03/2026 09:55:35 上午,835,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2395.2095808383233,835.0,0.0,835.0,835.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,1197.6047904191616,1197.6047904191616,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,512,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
171.89.9.180-192.168.1.20-2789-135-6,171.89.9.180,2789,192.168.1.20,135,6,16/03/2026 09:55:35 上午,844,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2369.6682464454975,844.0,0.0,844.0,844.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,1184.8341232227488,1184.8341232227488,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,512,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
50.43.182.160-192.168.1.20-2790-135-6,50.43.182.160,2790,192.168.1.20,135,6,16/03/2026 09:55:35 上午,828,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2415.458937198068,828.0,0.0,828.0,828.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,1207.729468599034,1207.729468599034,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,512,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
