Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.1.8-223.5.5.5-52616-53-17,192.168.1.8,52616,223.5.5.5,53,17,16/03/2026 10:26:08 上午,59498,2,2,86.0,338.0,43.0,43.0,43.0,0.0,169.0,169.0,169.0,0.0,7126.289959326364,67.22915055968268,19832.666666666668,31333.90702311688,55980.0,402.0,3116.0,3116.0,0.0,3116.0,3116.0,55980.0,55980.0,0.0,55980.0,55980.0,0,0,0,0,16,16,33.61457527984134,33.61457527984134,43.0,169.0,93.4,69.01304224565094,4762.8,0,0,0,0,0,0,0,0,1.0,116.75,43.0,169.0,0,0,0,424,4,7126,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,NeedManualLabel
134.221.96.2-62.146.0.20-0-0-0,134.221.96.2,0,62.146.0.20,0,0,16/03/2026 10:26:04 上午,25070385,24,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.9573048040546644,1090016.739130435,2072458.939648947,4998813.0,115.0,2.5070385E7,1090016.739130435,2072458.939648947,4998813.0,115.0,0,0,0,0,0,0,0,0,0,0,0,0.9573048040546644,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.1.16-192.168.1.1-60548-53-17,192.168.1.16,60548,192.168.1.1,53,17,16/03/2026 10:26:33 上午,59957,2,2,44.0,44.0,22.0,22.0,22.0,0.0,22.0,22.0,22.0,0.0,1467.7185316143234,66.71447870974198,19985.666666666668,17320.034218595913,31781.0,101.0,101.0,101.0,0.0,101.0,101.0,28075.0,28075.0,0.0,28075.0,28075.0,0,0,0,0,16,16,33.35723935487099,33.35723935487099,22.0,22.0,22.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,27.5,22.0,22.0,0,0,0,88,4,1467,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.1.8-223.5.5.5-55947-53-17,192.168.1.8,55947,223.5.5.5,53,17,16/03/2026 10:26:09 上午,37360,1,1,32.0,250.0,32.0,32.0,32.0,0.0,250.0,250.0,250.0,0.0,7548.179871520343,53.53319057815846,37360.0,0.0,37360.0,37360.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,26.76659528907923,26.76659528907923,32.0,250.0,104.66666666666667,125.86235868333841,15841.333333333334,0,0,0,0,0,0,0,0,1.0,157.0,32.0,250.0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,NeedManualLabel
134.221.96.8-251.159.0.51-0-0-0,134.221.96.8,0,251.159.0.51,0,0,16/03/2026 10:26:08 上午,126259,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,31.68090987573163,42086.33333333333,70508.12534973068,123502.0,1266.0,126259.0,42086.33333333333,70508.12534973068,123502.0,1266.0,0,0,0,0,0,0,0,0,0,0,0,31.68090987573163,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.1.8-113.17.140.244-53961-443-6,192.168.1.8,53961,113.17.140.244,443,6,16/03/2026 10:26:09 上午,876993,27,29,16236.0,4661.0,1400.0,0.0,601.3333333333334,635.7287762269983,916.0,0.0,160.72413793103448,340.6412961031552,23828.01231024649,63.854557562032994,15945.327272727274,87757.84389993285,651045.0,97.0,876993.0,33730.50000000001,126727.65803288565,651045.0,97.0,871778.0,31134.928571428572,123011.34689363946,655137.0,98.0,1,0,0,0,540,580,30.78701882455162,33.06753873748137,0.0,1400.0,367.96491228070175,543.7562139189203,295670.8201754386,0,0,0,23,56,0,0,0,1.0,374.5357142857143,601.3333333333334,160.72413793103448,0,0,0,20897,33,23833,0,0,0,0,1028,8352,21,20,0,0,0,0,0,0,0,0,NeedManualLabel
134.221.96.0-0.0.0.51-0-0-0,134.221.96.0,0,0.0.0.51,0,0,16/03/2026 10:26:08 上午,24685335,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.24305929006027263,4937067.0,7292942.139994907,1.636294E7,5519.0,2.4685335E7,4937067.0,7292942.139994907,1.636294E7,5519.0,0,0,0,0,0,0,0,0,0,0,0,0.24305929006027263,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,85362.0,0.0,85362.0,85362.0,1.22700325E7,5788245.296038559,1.636294E7,8177125.0,NeedManualLabel
192.168.1.8-123.249.42.199-49428-11111-6,192.168.1.8,49428,123.249.42.199,11111,6,16/03/2026 10:26:39 上午,47628,1,1,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,20.99605274208449,41.99210548416898,47628.0,0.0,47628.0,47628.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,32,20.99605274208449,20.99605274208449,0.0,1.0,0.6666666666666667,0.5773502691896257,0.3333333333333333,0,0,0,0,2,0,0,0,1.0,1.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,1024,501,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.1.8-223.5.5.5-59239-53-17,192.168.1.8,59239,223.5.5.5,53,17,16/03/2026 10:26:09 上午,40927,1,1,32.0,254.0,32.0,32.0,32.0,0.0,254.0,254.0,254.0,0.0,6988.051897280524,48.86749578517849,40927.0,0.0,40927.0,40927.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,24.433747892589246,24.433747892589246,32.0,254.0,106.0,128.17175976009693,16428.0,0,0,0,0,0,0,0,0,1.0,159.0,32.0,254.0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,NeedManualLabel
134.221.96.12-43.84.0.20-0-0-0,134.221.96.12,0,43.84.0.20,0,0,16/03/2026 10:26:04 上午,30070259,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.09976635053259768,1.50351295E7,533.8656197958434,1.5035507E7,1.5034752E7,3.0070259E7,1.50351295E7,533.8656197958434,1.5035507E7,1.5034752E7,0,0,0,0,0,0,0,0,0,0,0,0.09976635053259768,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.50351295E7,533.8656197958434,1.5035507E7,1.5034752E7,NeedManualLabel
